project_url,stars,forks,open_issues,open_pulls
https://github.com/axios/axios,106065.0,10988.0,30.0,30.0
https://github.com/paradigmxyz/reth,4207.0,1306.0,30.0,30.0
https://github.com/level/levelup,4085.0,267.0,0.0,0.0
https://github.com/webpack/webpack,64923.0,8911.0,30.0,30.0
https://github.com/ajv-validator/ajv,13951.0,886.0,30.0,30.0
https://github.com/gregberge/svgr,10612.0,424.0,30.0,13.0
https://github.com/ethereum/solc-js,1466.0,478.0,30.0,14.0
https://github.com/yarnpkg/yarn,41466.0,2730.0,30.0,30.0
https://github.com/nodeca/js-yaml,6335.0,776.0,30.0,14.0
https://github.com/immerjs/immer,27910.0,852.0,30.0,20.0
https://github.com/crate-crypto/go-ipa,33.0,14.0,10.0,3.0
https://github.com/fb55/entities,329.0,63.0,2.0,1.0
https://github.com/humanwhocodes/object-schema,32.0,7.0,1.0,1.0
https://github.com/zloirock/core-js,24697.0,1659.0,30.0,7.0
https://github.com/servo/rust-smallvec,1379.0,146.0,30.0,1.0
https://github.com/prysmaticlabs/prysm,3499.0,1045.0,30.0,30.0
https://github.com/browserslist/browserslist,13094.0,721.0,30.0,6.0
https://github.com/sheetjs/js-crc32,346.0,37.0,2.0,1.0
https://github.com/streetsidesoftware/cspell,1285.0,104.0,30.0,6.0
https://github.com/web3/web3.js,19482.0,4992.0,30.0,20.0
https://github.com/redux-saga/redux-saga,22535.0,1974.0,30.0,9.0
https://github.com/eth-infinitism/account-abstraction,1584.0,671.0,12.0,6.0
https://github.com/inikulin/parse5,3696.0,237.0,30.0,6.0
